datetime,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-03-20 18:42:30,21,4,10.3,65,7.7,0.0,24140.0
2024-03-20 18:54:16,21,4,10.1,66,7.6,0.0,24140.0
2024-03-20 19:14:56,21,0,9.9,66,7.5,0.0,24140.0
2024-03-20 19:38:37,21,0,9.4,65,7.3,0.0,24140.0
2024-03-20 20:18:29,21,8,8.6,69,6.9,0.0,24140.0
2024-03-20 20:40:38,21,8,8.4,69,6.6,0.0,24140.0
2024-03-20 21:17:11,21,8,8.0,70,6.3,0.0,24140.0
2024-03-20 21:38:44,21,7,7.9,70,6.1,0.0,24140.0
2024-03-20 22:15:30,21,7,7.6,70,5.7,0.0,24140.0
2024-03-20 22:38:56,21,7,6.9,81,5.1,0.0,24140.0
2024-03-20 23:18:55,21,7,6.5,82,4.6,0.0,24140.0
2024-03-20 23:38:34,21,7,6.4,82,4.6,0.0,24140.0
2024-03-21 01:12:26,21,7,5.7,86,3.7,0.0,24140.0
2024-03-21 02:06:04,21,7,4.7,91,2.7,0.0,24140.0
2024-03-21 02:39:08,21,7,4.6,91,2.8,0.0,24140.0
2024-03-21 03:19:15,21,7,4.6,91,2.8,0.0,24140.0
2024-03-21 03:38:42,21,7,4.4,92,2.8,0.0,24140.0
2024-03-21 04:21:15,21,7,4.2,93,2.6,0.0,24140.0
2024-03-21 04:39:02,21,7,2.8,99,0.9,0.0,24140.0
2024-03-21 05:16:06,21,7,1.9,100,-0.1,0.0,24140.0
2024-03-21 05:38:57,21,8,1.7,100,-0.2,0.0,24140.0
2024-03-21 06:21:56,21,6,2.2,99,0.2,0.0,24140.0
2024-03-21 06:40:50,21,6,3.1,97,1.3,0.0,24140.0
2024-03-21 07:16:25,21,3,5.9,88,4.3,0.0,24140.0
2024-03-21 07:38:36,21,3,6.8,83,5.0,0.0,24140.0
2024-03-21 08:20:43,21,4,10.0,68,8.3,0.0,24140.0
2024-03-21 08:39:34,21,6,11.0,65,9.3,0.0,24140.0
2024-03-21 09:16:47,21,9,13.2,58,11.7,0.0,24140.0
2024-03-21 09:38:31,21,8,14.0,56,12.8,0.0,24140.0
2024-03-21 10:17:06,21,13,15.6,50,14.8,0.0,24140.0
2024-03-21 10:39:07,21,12,16.1,48,15.2,0.0,24140.0
2024-03-21 11:14:57,21,16,16.4,48,15.2,0.0,24140.0
2024-03-21 11:38:31,21,17,17.0,47,16.1,0.0,24140.0
2024-03-21 12:30:23,21,13,17.7,47,16.2,0.0,24140.0
2024-03-21 12:52:06,21,8,17.8,47,16.0,0.0,24140.0
2024-03-21 13:21:13,21,7,17.7,48,15.8,0.0,24140.0
2024-03-21 13:38:48,21,7,17.4,44,15.6,0.0,24140.0
2024-03-21 14:16:18,21,0,17.0,47,15.6,0.0,24140.0
2024-03-21 14:38:35,21,1,16.7,50,15.4,0.2,24140.0
2024-03-21 15:18:23,21,3,15.9,58,15.0,0.0,24140.0
2024-03-21 15:40:04,21,9,15.6,61,14.9,0.1,24140.0
2024-03-21 16:23:27,21,3,14.9,67,14.7,0.0,24140.0
2024-03-21 16:42:10,21,0,15.1,60,14.0,0.0,24140.0
2024-03-21 17:15:37,21,2,14.2,61,12.7,0.0,24140.0
2024-03-21 17:38:52,21,6,13.8,66,12.5,0.0,24140.0
2024-03-21 18:21:16,21,0,12.7,75,11.9,0.0,23440.0
2024-03-21 18:38:27,21,0,12.5,75,11.7,0.0,23440.0
2024-03-21 19:15:50,21,3,11.9,75,10.8,0.0,24140.0
2024-03-21 19:38:20,21,6,12.1,72,10.7,0.0,24140.0
2024-03-21 20:18:25,21,8,11.4,73,9.8,0.0,24140.0
2024-03-21 20:39:17,21,8,11.0,74,9.3,0.0,24140.0
2024-03-21 21:16:53,21,7,10.2,75,8.3,0.0,24140.0
2024-03-21 21:38:44,21,7,9.9,76,8.1,0.0,24140.0
2024-03-21 22:16:47,21,7,9.4,76,7.5,0.0,24140.0
2024-03-21 22:39:31,21,7,10.5,77,9.0,0.0,24140.0
2024-03-21 23:19:21,21,7,10.3,77,8.7,0.0,24140.0
2024-03-21 23:38:28,21,7,10.4,76,8.7,0.0,24140.0
2024-03-22 01:11:05,21,7,10.8,70,8.8,0.0,24140.0
2024-03-22 02:03:42,21,7,10.4,71,8.3,0.0,24140.0
2024-03-22 02:38:32,21,7,10.2,71,8.3,0.0,24140.0
2024-03-22 03:18:34,21,7,10.1,72,8.2,0.0,24140.0
