datetime,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-03-20 18:42:35,22,13,10.1,67,8.2,0.0,24140.0
2024-03-20 18:54:21,22,14,9.9,68,8.2,0.0,24140.0
2024-03-20 19:15:01,22,13,9.4,70,8.0,0.0,24140.0
2024-03-20 19:38:44,22,13,9.2,67,7.6,0.0,24140.0
2024-03-20 20:18:37,22,13,8.6,71,6.8,0.0,24140.0
2024-03-20 20:40:43,22,13,8.5,71,6.8,0.0,24140.0
2024-03-20 21:17:17,22,13,8.2,72,6.6,0.0,24140.0
2024-03-20 21:38:49,22,13,7.9,73,6.3,0.0,24140.0
2024-03-20 22:15:36,22,13,7.4,76,5.7,0.0,24140.0
2024-03-20 22:39:02,22,14,6.5,83,4.7,0.0,24140.0
2024-03-20 23:19:00,22,14,6.7,82,4.9,0.0,24140.0
2024-03-20 23:38:39,22,12,6.7,81,4.9,0.0,24140.0
2024-03-21 01:12:34,22,12,6.3,82,4.4,0.0,24140.0
2024-03-21 02:06:08,22,12,5.3,83,3.3,0.0,24140.0
2024-03-21 02:39:13,22,12,5.3,82,3.4,0.0,24140.0
2024-03-21 03:19:23,22,12,5.1,83,3.3,0.0,24140.0
2024-03-21 03:38:46,22,12,4.9,83,3.2,0.0,24140.0
