datetime,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-03-20 18:42:38,20,13,10.4,65,7.8,0.0,24140.0
2024-03-20 18:54:23,20,13,10.1,66,7.6,0.0,24140.0
2024-03-20 19:15:02,20,13,9.6,67,7.4,0.0,24140.0
2024-03-20 19:38:47,20,11,9.4,65,7.3,0.0,24140.0
2024-03-20 20:18:40,20,9,8.6,69,6.9,0.0,24140.0
2024-03-20 20:40:46,20,10,8.4,69,6.7,0.0,24140.0
2024-03-20 21:17:19,20,10,8.1,70,6.3,0.0,24140.0
2024-03-20 21:38:51,20,9,7.9,70,6.2,0.0,24140.0
2024-03-20 22:15:39,20,9,7.7,70,5.7,0.0,24140.0
2024-03-20 22:39:04,20,9,6.9,81,5.1,0.0,24140.0
2024-03-20 23:19:02,20,8,6.6,82,4.7,0.0,24140.0
2024-03-20 23:38:41,20,7,6.5,82,4.7,0.0,24140.0
2024-03-21 01:12:37,20,6,5.8,86,3.7,0.0,24140.0
2024-03-21 02:06:10,20,6,4.7,91,2.8,0.0,24140.0
2024-03-21 02:39:15,20,6,4.7,91,2.8,0.0,24140.0
2024-03-21 03:19:26,20,6,4.6,91,2.9,0.0,24140.0
2024-03-21 03:38:48,20,6,4.5,92,2.8,0.0,24140.0
2024-03-21 04:21:26,20,6,4.3,93,2.7,0.0,24140.0
2024-03-21 04:39:11,20,6,2.8,99,1.0,0.0,24140.0
2024-03-21 05:16:16,20,5,1.9,100,-0.0,0.0,24140.0
2024-03-21 05:39:04,20,4,1.8,100,-0.1,0.0,24140.0
2024-03-21 06:22:07,20,5,2.2,99,0.3,0.0,24140.0
2024-03-21 06:41:01,20,6,3.2,97,1.3,0.0,24140.0
2024-03-21 07:16:34,20,7,5.9,88,4.4,0.0,24140.0
2024-03-21 07:38:43,20,8,6.8,83,5.1,0.0,24140.0
2024-03-21 08:20:52,20,10,10.1,68,8.3,0.0,24140.0
2024-03-21 08:39:42,20,12,11.1,65,9.3,0.0,24140.0
2024-03-21 09:16:56,20,12,13.2,58,11.8,0.0,24140.0
2024-03-21 09:38:41,20,13,14.1,56,12.8,0.0,24140.0
2024-03-21 10:17:12,20,15,15.7,50,14.8,0.0,24140.0
2024-03-21 10:39:15,20,15,16.1,48,15.3,0.0,24140.0
2024-03-21 11:15:04,20,13,16.7,47,15.7,0.0,24140.0
2024-03-21 11:38:39,20,12,17.0,47,16.1,0.0,24140.0
2024-03-21 12:30:33,20,12,17.8,47,16.2,0.0,24140.0
2024-03-21 12:52:17,20,12,17.8,47,16.1,0.0,24140.0
2024-03-21 13:21:22,20,13,17.8,48,15.8,0.0,24140.0
2024-03-21 13:38:56,20,12,17.4,44,15.7,0.0,24140.0
2024-03-21 14:16:24,20,12,17.1,47,15.6,0.0,24140.0
2024-03-21 14:38:43,20,9,16.8,50,15.4,0.2,24140.0
2024-03-21 15:18:29,20,4,15.9,58,15.0,0.0,24140.0
2024-03-21 15:40:11,20,12,15.6,61,15.0,0.1,24140.0
2024-03-21 16:23:35,20,11,15.0,67,14.7,0.0,24140.0
2024-03-21 16:42:16,20,12,15.2,60,14.1,0.0,24140.0
2024-03-21 17:15:48,20,12,14.2,61,12.8,0.0,24140.0
2024-03-21 17:38:59,20,13,13.8,66,12.6,0.0,24140.0
2024-03-21 18:21:23,20,13,12.8,75,11.9,0.0,23440.0
2024-03-21 18:38:37,20,13,12.6,75,11.7,0.0,23440.0
2024-03-21 19:15:57,20,15,11.9,75,10.9,0.0,24140.0
2024-03-21 19:38:27,20,15,12.1,72,10.7,0.0,24140.0
2024-03-21 20:18:33,20,14,11.4,73,9.8,0.0,24140.0
2024-03-21 20:39:23,20,13,11.1,74,9.4,0.0,24140.0
2024-03-21 21:17:00,20,13,10.2,75,8.4,0.0,24140.0
2024-03-21 21:38:51,20,13,10.0,76,8.1,0.0,24140.0
2024-03-21 22:16:56,20,13,9.5,76,7.6,0.0,24140.0
2024-03-21 22:39:41,20,13,10.6,77,9.0,0.0,24140.0
2024-03-21 23:19:28,20,13,10.4,77,8.7,0.0,24140.0
2024-03-21 23:38:34,20,13,10.4,76,8.8,0.0,24140.0
2024-03-22 01:11:13,20,13,10.8,70,8.9,0.0,24140.0
2024-03-22 02:03:53,20,12,10.4,71,8.4,0.0,24140.0
2024-03-22 02:38:43,20,12,10.3,71,8.3,0.0,24140.0
2024-03-22 03:18:41,20,12,10.2,72,8.3,0.0,24140.0
2024-03-22 03:38:22,20,12,10.1,73,8.1,0.0,24140.0
2024-03-22 04:19:53,20,11,9.7,73,7.7,0.0,24140.0
2024-03-22 04:38:50,20,11,10.6,72,8.7,0.0,24140.0
2024-03-22 05:19:19,20,10,10.3,71,8.3,0.0,24140.0
2024-03-22 05:38:47,20,9,10.2,71,8.3,0.0,24140.0
2024-03-22 06:22:24,20,10,10.5,71,8.8,0.0,24140.0
2024-03-22 06:38:47,20,11,10.8,71,9.3,0.0,24140.0
2024-03-22 07:16:39,20,13,11.9,69,10.5,0.0,24140.0
2024-03-22 07:38:43,20,13,12.5,65,11.1,0.0,24140.0
2024-03-22 08:22:13,20,13,13.9,59,12.3,0.0,24140.0
2024-03-22 08:38:32,20,14,14.4,57,12.8,0.0,24140.0
2024-03-22 09:19:52,20,14,15.6,51,14.0,0.0,24140.0
2024-03-22 09:39:14,20,14,16.0,48,14.3,0.0,24140.0
2024-03-22 10:19:00,20,14,16.9,43,14.8,0.0,24140.0
2024-03-22 10:39:03,20,13,17.0,39,14.2,0.0,24140.0
2024-03-22 11:14:43,20,12,17.2,38,14.2,0.0,24140.0
2024-03-22 11:38:51,20,12,17.6,37,14.6,0.0,24140.0
2024-03-22 12:30:48,20,13,18.2,36,14.5,0.0,24140.0
2024-03-22 12:51:31,20,12,18.2,36,14.4,0.0,24140.0
2024-03-22 13:18:33,20,8,18.5,35,14.6,0.0,24140.0
2024-03-22 13:38:55,20,7,18.8,34,15.1,0.0,24140.0
2024-03-22 14:16:56,20,2,18.9,35,15.9,0.0,24140.0
2024-03-22 14:38:44,20,1,18.9,34,16.0,0.0,24140.0
2024-03-22 15:17:17,20,0,18.7,34,15.9,0.0,24140.0
2024-03-22 15:39:47,20,0,18.4,36,15.8,0.0,24140.0
2024-03-22 16:22:13,20,12,17.5,42,15.1,0.0,24140.0
2024-03-22 16:40:01,20,12,17.3,42,14.7,0.0,24140.0
2024-03-22 17:15:10,20,11,15.9,48,13.8,0.0,24140.0
2024-03-22 17:38:50,20,13,15.2,50,13.2,0.0,24140.0
2024-03-22 18:20:26,20,9,13.7,58,12.1,0.0,24140.0
