datetime,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-03-20 18:42:37,20,8,9.4,69,7.0,0.0,24140.0
2024-03-20 18:54:22,20,8,9.1,70,6.8,0.0,24140.0
2024-03-20 19:15:02,20,9,8.5,72,6.4,0.0,24140.0
2024-03-20 19:38:46,20,9,8.2,72,6.2,0.0,24140.0
2024-03-20 20:18:39,20,7,7.7,76,5.8,0.0,24140.0
2024-03-20 20:40:45,20,7,8.1,74,6.3,0.0,24140.0
2024-03-20 21:17:18,20,8,8.9,70,7.3,0.0,24140.0
2024-03-20 21:38:50,20,9,8.7,70,7.1,0.0,24140.0
2024-03-20 22:15:38,20,9,8.2,71,6.4,0.0,24140.0
2024-03-20 22:39:04,20,9,7.7,75,5.8,0.0,24140.0
2024-03-20 23:19:01,20,9,7.2,77,5.3,0.0,24140.0
2024-03-20 23:38:40,20,9,6.8,79,5.2,0.0,24140.0
2024-03-21 01:12:36,20,9,6.1,83,4.1,0.0,24140.0
2024-03-21 02:06:10,20,9,4.7,89,3.0,0.0,24140.0
2024-03-21 02:39:15,20,8,4.3,92,2.7,0.0,24140.0
2024-03-21 03:19:25,20,8,4.1,93,2.4,0.0,24140.0
2024-03-21 03:38:48,20,8,4.1,92,2.4,0.0,24140.0
2024-03-21 04:21:25,20,8,3.8,93,2.0,0.0,24140.0
2024-03-21 04:39:11,20,8,2.5,100,0.6,0.0,24140.0
2024-03-21 05:16:16,20,8,2.2,100,0.3,0.0,24140.0
2024-03-21 05:39:04,20,8,1.9,100,-0.1,0.0,24140.0
2024-03-21 06:22:06,20,10,1.9,98,-0.1,0.0,24140.0
