datetime,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-03-20 18:42:36,20,7,10.2,65,7.6,0.0,24140.0
2024-03-20 18:54:22,20,8,9.9,66,7.5,0.0,24140.0
2024-03-20 19:15:01,20,7,9.5,67,7.2,0.0,24140.0
2024-03-20 19:38:45,20,7,9.3,65,7.1,0.0,24140.0
2024-03-20 20:18:38,20,10,8.5,69,6.7,0.0,24140.0
2024-03-20 20:40:44,20,12,8.3,69,6.5,0.0,24140.0
2024-03-20 21:17:17,20,11,7.9,70,6.1,0.0,24140.0
2024-03-20 21:38:49,20,11,7.8,70,6.0,0.0,24140.0
2024-03-20 22:15:37,20,12,7.6,70,5.6,0.0,24140.0
2024-03-20 22:39:03,20,15,6.8,81,5.0,0.0,24140.0
2024-03-20 23:19:00,20,15,6.4,82,4.5,0.0,24140.0
2024-03-20 23:38:40,20,15,6.3,82,4.5,0.0,24140.0
2024-03-21 01:12:35,20,15,5.6,86,3.5,0.0,24140.0
2024-03-21 02:06:09,20,16,4.6,91,2.6,0.0,24140.0
2024-03-21 02:39:14,20,16,4.5,91,2.7,0.0,24140.0
2024-03-21 03:19:24,20,16,4.4,91,2.7,0.0,24140.0
2024-03-21 03:38:47,20,15,4.4,92,2.7,0.0,24140.0
2024-03-21 04:21:24,20,15,4.2,93,2.5,0.0,24140.0
