datetime,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-03-20 18:42:30,20,9,10.2,65,7.6,0.0,24140.0
2024-03-20 18:54:16,20,9,9.9,66,7.5,0.0,24140.0
2024-03-20 19:14:56,20,10,9.8,66,7.4,0.0,24140.0
2024-03-20 19:38:37,20,9,9.3,65,7.1,0.0,24140.0
2024-03-20 20:18:28,20,9,8.5,69,6.7,0.0,24140.0
2024-03-20 20:40:38,20,5,8.4,69,6.6,0.0,24140.0
2024-03-20 21:17:11,20,1,7.9,70,6.1,0.0,24140.0
2024-03-20 21:38:44,20,1,7.8,70,6.0,0.0,24140.0
2024-03-20 22:15:30,20,2,7.6,70,5.6,0.0,24140.0
2024-03-20 22:38:55,20,2,6.8,81,5.0,0.0,24140.0
2024-03-20 23:18:55,20,2,6.4,82,4.5,0.0,24140.0
2024-03-20 23:38:34,20,2,6.3,82,4.5,0.0,24140.0
2024-03-21 01:12:26,20,2,5.6,86,3.5,0.0,24140.0
