datetime,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-03-22 12:30:46,20,13,18.5,36,15.7,0.0,24140.0
2024-03-22 12:51:29,20,13,18.5,37,15.9,0.0,24140.0
2024-03-22 13:18:31,20,14,18.8,36,16.2,0.0,24140.0
2024-03-22 13:38:54,20,14,19.1,32,16.2,0.0,24140.0
2024-03-22 14:16:54,20,15,19.1,30,15.8,0.0,24140.0
2024-03-22 14:38:42,20,16,19.0,31,15.8,0.0,24140.0
2024-03-22 15:17:16,20,16,18.6,32,15.7,0.0,24140.0
2024-03-22 15:39:46,20,16,18.5,32,15.7,0.0,24140.0
2024-03-22 16:22:11,20,10,17.9,34,15.4,0.0,24140.0
2024-03-22 16:39:59,20,10,17.8,37,15.4,0.0,24140.0
2024-03-22 17:15:09,20,10,16.1,50,14.6,0.0,24140.0
2024-03-22 17:38:48,20,10,15.1,54,13.8,0.0,24140.0
