datetime,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-03-20 18:42:32,20,14,10.2,67,8.3,0.0,24140.0
2024-03-20 18:54:18,20,13,9.9,68,8.2,0.0,24140.0
2024-03-20 19:14:58,20,14,9.8,69,8.2,0.0,24140.0
2024-03-20 19:38:40,20,12,9.3,67,7.7,0.0,24140.0
2024-03-20 20:18:32,20,11,8.6,71,6.9,0.0,24140.0
2024-03-20 20:40:40,20,10,8.6,71,6.8,0.0,24140.0
2024-03-20 21:17:13,20,9,8.2,72,6.6,0.0,24140.0
2024-03-20 21:38:46,20,10,8.0,73,6.4,0.0,24140.0
2024-03-20 22:15:33,20,10,7.4,76,5.7,0.0,24140.0
2024-03-20 22:38:58,20,10,6.6,83,4.7,0.0,24140.0
2024-03-20 23:18:57,20,13,6.7,82,4.9,0.0,24140.0
2024-03-20 23:38:36,20,15,6.7,81,5.0,0.0,24140.0
2024-03-21 01:12:29,20,17,6.4,82,4.5,0.0,24140.0
2024-03-21 02:06:05,20,14,5.3,83,3.4,0.0,24140.0
2024-03-21 02:39:10,20,14,5.3,82,3.4,0.0,24140.0
2024-03-21 03:19:18,20,14,5.2,83,3.3,0.0,24140.0
2024-03-21 03:38:44,20,14,4.9,83,3.2,0.0,24140.0
2024-03-21 04:21:18,20,14,4.6,86,2.8,0.0,24140.0
2024-03-21 04:39:05,20,14,3.6,94,1.7,0.0,24140.0
2024-03-21 05:16:09,20,14,2.7,100,0.7,0.0,24140.0
2024-03-21 05:38:59,20,15,2.5,100,0.6,0.0,24140.0
2024-03-21 06:21:59,20,12,3.0,97,1.0,0.0,24140.0
2024-03-21 06:40:53,20,12,3.8,93,1.8,0.0,24140.0
2024-03-21 07:16:28,20,17,6.1,81,4.1,0.0,24140.0
2024-03-21 07:38:38,20,14,7.6,76,5.6,0.0,24140.0
2024-03-21 08:20:46,20,5,10.1,67,8.3,0.0,24140.0
2024-03-21 08:39:36,20,7,11.1,64,9.3,0.0,24140.0
2024-03-21 09:16:50,20,1,13.2,57,11.6,0.0,24140.0
2024-03-21 09:38:34,20,1,13.9,55,12.5,0.0,24140.0
2024-03-21 10:17:08,20,9,15.6,49,14.3,0.0,24140.0
2024-03-21 10:39:09,20,9,16.1,46,14.8,0.0,24140.0
2024-03-21 11:14:59,20,8,16.4,47,15.0,0.0,24140.0
2024-03-21 11:38:33,20,1,17.0,46,15.8,0.0,24140.0
2024-03-21 12:30:26,20,10,17.7,47,16.0,0.0,24140.0
2024-03-21 12:52:09,20,16,17.8,48,15.9,0.0,24140.0
2024-03-21 13:21:16,20,16,17.6,49,15.7,0.0,24140.0
2024-03-21 13:38:50,20,13,17.1,47,15.6,0.0,24140.0
2024-03-21 14:16:20,20,10,16.6,51,15.6,0.1,24140.0
2024-03-21 14:38:37,20,9,16.4,52,15.4,0.1,24140.0
2024-03-21 15:18:24,20,14,15.9,56,14.8,0.0,24140.0
2024-03-21 15:40:06,20,11,15.8,58,14.9,0.0,24140.0
2024-03-21 16:23:29,20,11,15.2,63,14.7,0.0,24140.0
2024-03-21 16:42:12,20,13,15.4,60,14.3,0.0,24140.0
2024-03-21 17:15:40,20,11,14.1,69,13.0,0.0,24140.0
2024-03-21 17:38:54,20,13,13.6,72,12.6,0.1,24140.0
2024-03-21 18:21:18,20,12,12.6,77,11.6,0.0,23440.0
2024-03-21 18:38:30,20,15,12.2,77,11.2,0.0,23440.0
2024-03-21 19:15:52,20,11,11.3,77,10.2,0.0,24140.0
2024-03-21 19:38:22,20,10,12.2,69,10.3,0.0,24140.0
2024-03-21 20:18:27,20,7,11.4,70,9.5,0.0,24140.0
2024-03-21 20:39:19,20,7,10.9,73,9.1,0.0,24140.0
2024-03-21 21:16:55,20,9,10.0,76,8.1,0.0,24140.0
2024-03-21 21:38:46,20,10,9.9,75,8.0,0.0,24140.0
2024-03-21 22:16:49,20,13,9.9,73,7.9,0.0,24140.0
