datetime,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-03-20 18:42:35,20,16,10.1,65,7.5,0.0,24140.0
2024-03-20 18:54:20,20,16,9.9,66,7.4,0.0,24140.0
2024-03-20 19:15:00,20,15,9.4,67,7.1,0.0,24140.0
2024-03-20 19:38:43,20,18,9.2,65,7.1,0.0,24140.0
2024-03-20 20:18:35,20,20,8.4,69,6.7,0.0,24140.0
2024-03-20 20:40:43,20,20,8.2,69,6.5,0.0,24140.0
2024-03-20 21:17:16,20,20,7.8,70,6.1,0.0,24140.0
2024-03-20 21:38:48,20,20,7.8,70,5.9,0.0,24140.0
2024-03-20 22:15:36,20,20,7.5,70,5.6,0.0,24140.0
2024-03-20 22:39:01,20,20,6.8,81,4.9,0.0,24140.0
2024-03-20 23:18:59,20,20,6.4,82,4.5,0.0,24140.0
2024-03-20 23:38:38,20,20,6.3,82,4.4,0.0,24140.0
2024-03-21 01:12:33,20,19,5.6,86,3.5,0.0,24140.0
2024-03-21 02:06:08,20,19,4.5,91,2.5,0.0,24140.0
2024-03-21 02:39:12,20,19,4.4,91,2.6,0.0,24140.0
2024-03-21 03:19:22,20,19,4.4,91,2.6,0.0,24140.0
2024-03-21 03:38:46,20,19,4.3,92,2.6,0.0,24140.0
2024-03-21 04:21:22,20,19,4.1,93,2.4,0.0,24140.0
2024-03-21 04:39:08,20,19,2.6,99,0.7,0.0,24140.0
2024-03-21 05:16:12,20,19,1.8,100,-0.2,0.0,24140.0
2024-03-21 05:39:02,20,19,1.6,100,-0.3,0.0,24140.0
2024-03-21 06:22:03,20,19,2.0,99,0.0,0.0,24140.0
2024-03-21 06:40:57,20,19,3.0,97,1.1,0.0,24140.0
2024-03-21 07:16:31,20,8,5.8,88,4.1,0.0,24140.0
2024-03-21 07:38:40,20,9,6.7,83,4.9,0.0,24140.0
2024-03-21 08:20:49,20,11,9.9,68,8.1,0.0,24140.0
2024-03-21 08:39:39,20,13,10.9,65,9.1,0.0,24140.0
2024-03-21 09:16:52,20,15,13.1,58,11.6,0.0,24140.0
2024-03-21 09:38:37,20,14,13.9,56,12.6,0.0,24140.0
2024-03-21 10:17:10,20,9,15.5,50,14.6,0.0,24140.0
2024-03-21 10:39:12,20,10,16.0,48,15.1,0.0,24140.0
2024-03-21 11:15:01,20,17,16.5,47,15.5,0.0,24140.0
2024-03-21 11:38:36,20,20,16.9,47,15.9,0.0,24140.0
2024-03-21 12:30:29,20,20,17.5,47,16.0,0.0,24140.0
2024-03-21 12:52:13,20,20,17.6,47,15.9,0.0,24140.0
2024-03-21 13:21:19,20,13,17.6,48,15.7,0.0,24140.0
2024-03-21 13:38:53,20,12,17.2,44,15.4,0.0,24140.0
2024-03-21 14:16:22,20,16,16.9,47,15.4,0.0,24140.0
2024-03-21 14:38:40,20,18,16.5,50,15.2,0.2,24140.0
2024-03-21 15:18:27,20,20,15.7,58,14.8,0.0,24140.0
2024-03-21 15:40:09,20,20,15.4,61,14.7,0.1,24140.0
2024-03-21 16:23:32,20,20,14.8,67,14.5,0.0,24140.0
2024-03-21 16:42:14,20,19,15.1,60,13.9,0.0,24140.0
2024-03-21 17:15:44,20,17,14.1,61,12.5,0.0,24140.0
2024-03-21 17:38:56,20,18,13.6,66,12.4,0.0,24140.0
2024-03-21 18:21:20,20,19,12.6,75,11.7,0.0,23440.0
2024-03-21 18:38:33,20,19,12.4,75,11.5,0.0,23440.0
2024-03-21 19:15:54,20,20,11.8,75,10.7,0.0,24140.0
2024-03-21 19:38:24,20,20,12.0,72,10.5,0.0,24140.0
2024-03-21 20:18:30,20,19,11.2,73,9.6,0.0,24140.0
2024-03-21 20:39:21,20,18,10.9,74,9.2,0.0,24140.0
2024-03-21 21:16:57,20,18,10.1,75,8.1,0.0,24140.0
2024-03-21 21:38:48,20,18,9.8,76,7.9,0.0,24140.0
2024-03-21 22:16:52,20,18,9.4,76,7.4,0.0,24140.0
2024-03-21 22:39:37,20,18,10.4,77,8.8,0.0,24140.0
2024-03-21 23:19:25,20,19,10.1,77,8.5,0.0,24140.0
2024-03-21 23:38:32,20,19,10.2,76,8.6,0.0,24140.0
2024-03-22 01:11:10,20,18,10.6,70,8.6,0.0,24140.0
2024-03-22 02:03:49,20,18,10.2,71,8.2,0.0,24140.0
2024-03-22 02:38:39,20,18,10.1,71,8.1,0.0,24140.0
2024-03-22 03:18:39,20,18,10.0,72,8.1,0.0,24140.0
2024-03-22 03:38:19,20,18,9.9,73,7.9,0.0,24140.0
2024-03-22 04:19:50,20,18,9.5,73,7.4,0.0,24140.0
2024-03-22 04:38:47,20,18,10.4,72,8.5,0.0,24140.0
2024-03-22 05:19:15,20,17,10.1,71,8.1,0.0,24140.0
2024-03-22 05:38:44,20,16,10.1,71,8.1,0.0,24140.0
2024-03-22 06:22:21,20,15,10.3,71,8.5,0.0,24140.0
2024-03-22 06:38:45,20,15,10.6,71,9.1,0.0,24140.0
2024-03-22 07:16:34,20,12,11.6,69,10.3,0.0,24140.0
2024-03-22 07:38:40,20,12,12.3,65,10.8,0.0,24140.0
2024-03-22 08:22:09,20,11,13.6,59,12.1,0.0,24140.0
2024-03-22 08:38:30,20,12,14.2,57,12.6,0.0,24140.0
2024-03-22 09:19:49,20,10,15.4,51,13.8,0.0,24140.0
2024-03-22 09:39:11,20,8,15.9,48,14.1,0.0,24140.0
2024-03-22 10:18:57,20,7,16.7,43,14.6,0.0,24140.0
2024-03-22 10:39:00,20,7,16.8,39,13.9,0.0,24140.0
2024-03-22 11:14:38,20,12,17.0,38,14.0,0.0,24140.0
2024-03-22 11:38:46,20,16,17.5,37,14.3,0.0,24140.0
2024-03-22 12:30:43,20,17,18.0,36,14.3,0.0,24140.0
2024-03-22 12:51:28,20,16,18.1,36,14.2,0.0,24140.0
2024-03-22 13:18:29,20,11,18.3,35,14.5,0.0,24140.0
2024-03-22 13:38:52,20,8,18.5,34,14.8,0.0,24140.0
2024-03-22 14:16:52,20,11,18.7,35,15.7,0.0,24140.0
2024-03-22 14:38:40,20,12,18.7,34,15.8,0.0,24140.0
2024-03-22 15:17:14,20,16,18.5,34,15.7,0.0,24140.0
2024-03-22 15:39:44,20,13,18.2,36,15.5,0.0,24140.0
2024-03-22 16:22:08,20,14,17.4,42,14.8,0.0,24140.0
2024-03-22 16:39:57,20,15,17.1,42,14.5,0.0,24140.0
2024-03-22 17:15:07,20,15,15.7,48,13.5,0.0,24140.0
2024-03-22 17:38:46,20,16,15.1,50,13.0,0.0,24140.0
2024-03-22 18:20:23,20,15,13.5,58,11.9,0.0,24140.0
2024-03-22 18:38:33,20,14,13.1,60,11.5,0.0,24140.0
2024-03-22 19:15:46,20,12,12.2,65,10.9,0.0,24140.0
2024-03-22 19:38:33,20,15,11.8,66,10.6,0.0,24140.0
2024-03-22 20:18:21,20,16,11.2,66,9.8,0.0,24140.0
2024-03-22 20:38:45,20,15,11.0,67,9.6,0.0,24140.0
2024-03-22 21:15:38,20,14,10.3,67,8.9,0.0,24140.0
2024-03-22 21:38:54,20,14,10.1,68,8.6,0.0,24140.0
2024-03-22 22:17:21,20,14,9.5,69,7.9,0.0,24140.0
2024-03-22 22:38:47,20,14,8.4,76,7.0,0.0,24140.0
2024-03-22 23:16:45,20,14,8.4,76,7.0,0.0,24140.0
2024-03-22 23:40:01,20,14,8.4,76,6.9,0.0,24140.0
2024-03-23 01:10:02,20,15,7.7,78,6.1,0.0,24140.0
2024-03-23 02:04:33,20,15,6.7,86,5.1,0.0,24140.0
2024-03-23 02:39:09,20,15,6.2,88,4.7,0.0,24140.0
2024-03-23 03:19:17,20,15,5.9,90,4.5,0.0,24140.0
2024-03-23 03:39:04,20,15,6.0,90,4.6,0.0,24140.0
2024-03-23 04:21:38,20,15,6.2,89,4.7,0.0,24140.0
2024-03-23 04:39:10,20,15,6.0,90,4.6,0.0,24140.0
2024-03-23 05:17:37,20,15,5.9,90,4.4,0.0,24140.0
2024-03-23 05:38:45,20,15,5.9,91,4.5,0.0,24140.0
2024-03-23 06:25:40,20,15,6.2,91,4.9,0.0,24140.0
2024-03-23 06:41:03,20,15,6.8,89,5.5,0.0,24140.0
2024-03-23 07:16:51,20,15,8.6,81,7.3,0.0,24140.0
2024-03-23 07:39:02,20,16,9.3,79,8.1,0.0,24140.0
2024-03-23 08:19:31,20,17,11.9,69,10.7,0.0,24140.0
2024-03-23 08:38:34,20,17,12.9,67,11.9,0.0,24140.0
2024-03-23 09:16:43,20,19,15.3,60,14.5,0.0,24140.0
2024-03-23 09:38:39,20,19,16.1,56,15.2,0.0,24140.0
2024-03-23 10:17:24,20,18,17.9,49,16.4,0.0,24140.0
2024-03-23 10:38:48,20,17,17.0,53,15.4,0.0,24140.0
2024-03-23 11:13:05,20,16,17.6,49,15.6,0.0,24140.0
2024-03-23 11:39:29,20,18,18.4,46,16.2,0.0,24140.0
2024-03-23 12:31:34,20,18,19.5,40,16.7,0.0,24140.0
2024-03-23 13:17:33,20,20,19.9,37,15.7,0.0,24140.0
2024-03-23 13:38:32,20,20,19.4,34,14.6,0.0,24140.0
2024-03-23 14:14:33,20,20,19.4,33,14.7,0.0,24140.0
2024-03-23 14:38:46,20,19,19.0,35,14.8,0.0,24140.0
2024-03-23 15:18:30,20,19,18.5,39,14.8,0.0,24140.0
2024-03-23 15:38:32,20,20,18.1,40,14.6,0.0,24140.0
2024-03-23 16:20:11,20,20,17.2,42,14.1,0.0,24140.0
2024-03-23 16:38:40,20,20,16.8,45,14.6,0.0,24140.0
2024-03-23 17:15:21,20,20,14.7,50,11.6,0.0,22520.0
2024-03-23 17:38:43,20,20,12.4,55,8.3,0.0,24140.0
2024-03-23 18:19:48,20,18,7.7,68,1.7,0.0,6780.0
2024-03-23 18:38:49,20,19,7.2,72,1.6,0.4,6780.0
2024-03-23 19:13:25,20,19,6.8,78,2.1,1.0,5420.0
2024-03-23 19:38:45,20,19,6.4,78,2.3,0.7,5420.0
2024-03-23 20:18:04,20,18,6.5,76,2.4,1.2,4740.0
2024-03-23 20:38:45,20,18,6.3,76,2.4,1.1,4740.0
2024-03-23 21:14:20,20,18,6.2,77,2.7,0.2,1680.0
2024-03-23 21:38:33,20,18,5.9,79,3.6,0.0,1680.0
2024-03-23 22:16:11,20,18,5.7,81,3.3,0.0,3460.0
2024-03-23 22:38:39,20,18,5.4,84,3.5,0.0,3460.0
2024-03-23 23:16:17,20,18,5.1,88,2.8,0.0,10060.0
2024-03-23 23:38:35,20,18,4.8,88,2.3,0.0,11680.0
2024-03-24 01:18:01,20,18,4.1,87,0.6,0.0,10720.0
2024-03-24 02:09:52,20,18,3.5,89,0.3,0.0,16140.0
2024-03-24 02:39:44,20,18,3.5,90,0.6,0.0,16140.0
2024-03-24 03:17:36,20,18,3.7,90,1.0,0.0,24140.0
2024-03-24 03:38:34,20,18,3.8,89,1.1,0.0,24140.0
2024-03-24 04:22:08,20,18,4.1,85,1.3,0.0,16100.0
2024-03-24 04:39:20,20,18,4.0,81,1.0,0.0,16100.0
2024-03-24 05:16:39,20,18,4.2,78,0.7,0.0,16040.0
